State,County,Cost Burdened Category by AMI Level,% of Households
California,Alameda,% of Cost Burdened Owners 30-50%,59%
California,Alameda,% of Cost Burdened Owners 51-80%,54%
California,Alameda,% of Cost Burdened Renters 30-50%,82%
California,Alameda,% of Cost Burdened Renters 51-80%,56%
California,Butte,% of Cost Burdened Owners 30-50%,65%
California,Butte,% of Cost Burdened Owners 51-80%,39%
California,Butte,% of Cost Burdened Renters 30-50%,89%
California,Butte,% of Cost Burdened Renters 51-80%,71%
California,Contra Costa,% of Cost Burdened Owners 30-50%,63%
California,Contra Costa,% of Cost Burdened Owners 51-80%,54%
California,Contra Costa,% of Cost Burdened Renters 30-50%,84%
California,Contra Costa,% of Cost Burdened Renters 51-80%,59%
California,Fresno,% of Cost Burdened Owners 30-50%,68%
California,Fresno,% of Cost Burdened Owners 51-80%,57%
California,Fresno,% of Cost Burdened Renters 30-50%,83%
California,Fresno,% of Cost Burdened Renters 51-80%,61%
California,Kings,% of Cost Burdened Owners 30-50%,64%
California,Kings,% of Cost Burdened Owners 51-80%,52%
California,Kings,% of Cost Burdened Renters 30-50%,81%
California,Kings,% of Cost Burdened Renters 51-80%,55%
California,Marin,% of Cost Burdened Owners 30-50%,65%
California,Marin,% of Cost Burdened Owners 51-80%,53%
California,Marin,% of Cost Burdened Renters 30-50%,83%
California,Marin,% of Cost Burdened Renters 51-80%,59%
California,Los Angeles,% of Cost Burdened Owners 30-50%,67%
California,Los Angeles,% of Cost Burdened Owners 51-80%,59%
California,Los Angeles,% of Cost Burdened Renters 30-50%,85%
California,Los Angeles,% of Cost Burdened Renters 51-80%,55%
California,Nevada,% of Cost Burdened Owners 30-50%,61%
California,Nevada,% of Cost Burdened Owners 51-80%,56%
California,Nevada,% of Cost Burdened Renters 30-50%,79%
California,Nevada,% of Cost Burdened Renters 51-80%,59%
California,Orange,% of Cost Burdened Owners 30-50%,62%
California,Orange,% of Cost Burdened Owners 51-80%,55%
California,Orange,% of Cost Burdened Renters 30-50%,88%
California,Orange,% of Cost Burdened Renters 51-80%,60%
California,Riverside,% of Cost Burdened Owners 30-50%,69%
California,Riverside,% of Cost Burdened Owners 51-80%,59%
California,Riverside,% of Cost Burdened Renters 30-50%,87%
California,Riverside,% of Cost Burdened Renters 51-80%,73%
California,Sacramento,% of Cost Burdened Owners 30-50%,66%
California,Sacramento,% of Cost Burdened Owners 51-80%,54%
California,Sacramento,% of Cost Burdened Renters 30-50%,87%
California,Sacramento,% of Cost Burdened Renters 51-80%,59%
California,San Diego,% of Cost Burdened Owners 30-50%,63%
California,San Diego,% of Cost Burdened Owners 51-80%,58%
California,San Diego,% of Cost Burdened Renters 30-50%,87%
California,San Diego,% of Cost Burdened Renters 51-80%,64%
California,San Francisco,% of Cost Burdened Owners 30-50%,55%
California,San Francisco,% of Cost Burdened Owners 51-80%,49%
California,San Francisco,% of Cost Burdened Renters 30-50%,72%
California,San Francisco,% of Cost Burdened Renters 51-80%,48%
California,San Luis Obispo,% of Cost Burdened Owners 30-50%,60%
California,San Luis Obispo,% of Cost Burdened Owners 51-80%,52%
California,San Luis Obispo,% of Cost Burdened Renters 30-50%,87%
California,San Luis Obispo,% of Cost Burdened Renters 51-80%,68%
California,San Mateo,% of Cost Burdened Owners 30-50%,54%
California,San Mateo,% of Cost Burdened Owners 51-80%,51%
California,San Mateo,% of Cost Burdened Renters 30-50%,84%
California,San Mateo,% of Cost Burdened Renters 51-80%,50%
California,Santa Barbara,% of Cost Burdened Owners 30-50%,61%
California,Santa Barbara,% of Cost Burdened Owners 51-80%,50%
California,Santa Barbara,% of Cost Burdened Renters 30-50%,84%
California,Santa Barbara,% of Cost Burdened Renters 51-80%,62%
California,Santa Clara,% of Cost Burdened Owners 30-50%,57%
California,Santa Clara,% of Cost Burdened Owners 51-80%,51%
California,Santa Clara,% of Cost Burdened Renters 30-50%,81%
California,Santa Clara,% of Cost Burdened Renters 51-80%,53%
California,Solano,% of Cost Burdened Owners 30-50%,69%
California,Solano,% of Cost Burdened Owners 51-80%,55%
California,Solano,% of Cost Burdened Renters 30-50%,87%
California,Solano,% of Cost Burdened Renters 51-80%,69%
California,Stanislaus,% of Cost Burdened Owners 30-50%,71%
California,Stanislaus,% of Cost Burdened Owners 51-80%,58%
California,Stanislaus,% of Cost Burdened Renters 30-50%,87%
California,Stanislaus,% of Cost Burdened Renters 51-80%,67%
California,Sonoma,% of Cost Burdened Owners 30-50%,67%
California,Sonoma,% of Cost Burdened Owners 51-80%,55%
California,Sonoma,% of Cost Burdened Renters 30-50%,83%
California,Sonoma,% of Cost Burdened Renters 51-80%,73%
California,Tulare,% of Cost Burdened Owners 30-50%,64%
California,Tulare,% of Cost Burdened Owners 51-80%,55%
California,Tulare,% of Cost Burdened Renters 30-50%,78%
California,Tulare,% of Cost Burdened Renters 51-80%,48%
California,Ventura,% of Cost Burdened Owners 30-50%,65%
California,Ventura,% of Cost Burdened Owners 51-80%,54%
California,Ventura,% of Cost Burdened Renters 30-50%,85%
California,Ventura,% of Cost Burdened Renters 51-80%,67%
California,Yolo,% of Cost Burdened Owners 30-50%,61%
California,Yolo,% of Cost Burdened Owners 51-80%,49%
California,Yolo,% of Cost Burdened Renters 30-50%,85%
California,Yolo,% of Cost Burdened Renters 51-80%,58%
California,,% of Cost Burdened Owners 30-50%,64%
California,,% of Cost Burdened Owners 51-80%,55%
California,,% of Cost Burdened Renters 30-50%,85%
California,,% of Cost Burdened Renters 51-80%,59%
