Affiliate Name,County,State
Greater San Francisco,San Francisco,CA
Greater San Francisco,San Mateo,CA
Greater San Francisco,Marin,CA
East Bay Silicon Valley,Alameda,CA
East Bay Silicon Valley,Santa Clara,CA
East Bay Silicon Valley,Contra Costa,CA
Greater Los Angeles,Los Angeles,CA
Inland Valley,Riverside,CA
Butte County,Butte,CA
Nevada County,Nevada,CA
Ventura County,Ventura,CA
San Diego,San Diego,CA
Stanislaus County,Stanislaus,CA
Tulare Kings,Tulare,CA
Tulare Kings,Kings,CA
Orange County,Orange,CA
Solano Napa,Solano,CA
Solano Napa,Napa,CA
Greater Sacramento,Sacramento,CA
Greater Sacramento,Yolo,CA
Coachella Valley,Riverside,CA
Southern Santa Barbara,Santa Barbara,CA
San Luis Obispo County,San Luis Obispo,CA
Riverside,Riverside,CA
San Gabriel Valley,Los Angeles,CA
Fresno County,Fresno,CA
Sonoma County,Sonoma,CA
