State,Affiliate,Year,Homes Sold That Year,Source Type,Source Detail,Amount
California,Butte County,2010,2,Federal Government,CDBG,16500
California,Butte County,2010,2,Federal Government,HOME,34108
California,Butte County,2010,2,Local Government,Other Local Funding,60000
California,Butte County,2010,2,Habitat,Affiliate Raised Income,45732
California,Butte County,2011,3,Federal Government,CDBG,49500
California,Butte County,2011,3,Federal Government,HOME,167307
California,Butte County,2011,3,Local Government,Other Local Funding,210000
California,Butte County,2011,3,Habitat,Affiliate Raised Income,2215
California,Butte County,2012,4,Federal Government,CDBG,49500
California,Butte County,2012,4,Federal Government,HOME,255621
California,Butte County,2012,4,Local Government,Other Local Funding,180000
California,Butte County,2012,4,Habitat,Affiliate Raised Income,4757
California,Butte County,2013,3,Federal Government,HOME,277284
California,Butte County,2013,3,Local Government,Other Local Funding,150000
California,Butte County,2013,3,Habitat,Affiliate Raised Income,9598
California,Butte County,2014,1,Federal Government,HOME,64194
California,Butte County,2014,1,Local Government,Other Local Funding,50000
California,Butte County,2014,1,Habitat,Affiliate Raised Income,12600
California,Butte County,2015,1,Federal Government,HOME,53734
California,Butte County,2015,1,Habitat,Affiliate Raised Income,50000
California,Butte County,2016,2,Federal Government,CDBG,35000
California,Butte County,2016,2,Federal Government,HOME,114825
California,Butte County,2016,2,Local Government,Other Local Funding,78100
California,Butte County,2016,2,Habitat,Affiliate Raised Income,47752
California,Butte County,2011,3,Habitat,In Kind,31360
California,Butte County,2012,4,Habitat,In Kind,12545
California,Butte County,2013,3,Habitat,In Kind,13983
California,Butte County,2014,1,Habitat,In Kind,2603
California,Butte County,2015,1,Habitat,In Kind,8160
California,Butte County,2016,2,Habitat,In Kind,17714
California,Coachella Valley,2008,1,Local Government,Other Local Funding,65000
California,Coachella Valley,2008,1,Habitat,Affiliate Raised Income,38000
California,Coachella Valley,2009,1,Local Government,Other Local Funding,165000
California,Coachella Valley,2009,1,Habitat,Affiliate Raised Income,78000
California,Coachella Valley,2010,1,Local Government,Other Local Funding,200661
California,Coachella Valley,2010,1,Habitat,Affiliate Raised Income,81000
California,Coachella Valley,2011,1,Local Government,Other Local Funding,70000
California,Coachella Valley,2011,1,Habitat,Affiliate Raised Income,35000
California,Coachella Valley,2012,3,Local Government,Other Local Funding,305144
California,Coachella Valley,2012,3,Habitat,Affiliate Raised Income,35000
California,Coachella Valley,2015,5,Local Government,Other Local Funding,455556
California,Coachella Valley,2015,5,Habitat,Affiliate Raised Income,147000
California,Coachella Valley,2017,3,Local Government,Other Local Funding,417510
California,Coachella Valley,2017,3,Habitat,Affiliate Raised Income,313850
California,Fresno,2009,3,Federal Government,SHOP,30000
California,Fresno,2008,5,Federal Government,Capacity Building Section 4,44574
California,Fresno,2009,3,Federal Government,Capacity Building Section 4,26745
California,Fresno,2010,6,Federal Government,Capacity Building Section 4,53489
California,Fresno,2011,2,Federal Government,Capacity Building Section 4,17830
California,Fresno,2012,5,Federal Government,Capacity Building Section 4,35659
California,Fresno,2013,9,Federal Government,Capacity Building Section 4,71319
California,Fresno,2014,15,Federal Government,Capacity Building Section 4,133723
California,Fresno,2015,2,Federal Government,Capacity Building Section 4,17830
California,Fresno,2016,11,Federal Government,Capacity Building Section 4,89149
California,Fresno,2017,2,Federal Government,Capacity Building Section 4,17830
California,Fresno,2014,15,Federal Government,USDA 502,280000
California,Fresno,2010,6,Federal Government,HOME,225000
California,Fresno,2011,2,Federal Government,HOME,71000
California,Fresno,2012,5,Federal Government,HOME,220000
California,Fresno,2013,9,Federal Government,HOME,235000
California,Fresno,2014,15,Federal Government,HOME,370000
California,Fresno,2016,11,Federal Government,HOME,812001
California,Fresno,2017,2,Federal Government,HOME,180000
California,Fresno,2008,5,Federal Government,Federal Home Loan Bank,75000
California,Fresno,2009,3,Federal Government,Federal Home Loan Bank,45000
California,Fresno,2010,6,Federal Government,Federal Home Loan Bank,60000
California,Fresno,2011,2,Federal Government,Federal Home Loan Bank,30000
California,Fresno,2012,5,Federal Government,Federal Home Loan Bank,60000
California,Fresno,2013,9,Federal Government,Federal Home Loan Bank,105000
California,Fresno,2014,15,Federal Government,Federal Home Loan Bank,150000
California,Fresno,2015,2,Federal Government,Federal Home Loan Bank,15000
California,Fresno,2016,11,Federal Government,Federal Home Loan Bank,135000
California,Fresno,2017,2,Federal Government,Federal Home Loan Bank,30000
California,Fresno,2014,15,State Government,CalHome General,279000
California,Fresno,2015,2,State Government,CalHome General,46500
California,Fresno,2008,5,State Government,Other State Funding,96700.03
California,Fresno,2009,3,State Government,Other State Funding,159000
California,Fresno,2010,6,State Government,Other State Funding,122218.79
California,Fresno,2011,2,State Government,Other State Funding,165781.21
California,Fresno,2012,5,State Government,Other State Funding,133594.69
California,Fresno,2013,9,State Government,Other State Funding,136837.31
California,Fresno,2012,5,State Government,RDA + RDA Successors,87319.28
California,Fresno,2013,9,State Government,RDA + RDA Successors,130978.92
California,Fresno,2014,15,State Government,RDA + RDA Successors,21829.82
California,Fresno,2008,5,Habitat,Affiliate Raised Income,372818.32
California,Fresno,2009,3,Habitat,Affiliate Raised Income,118357.39
California,Fresno,2010,6,Habitat,Affiliate Raised Income,480170.63
California,Fresno,2011,2,Habitat,Affiliate Raised Income,16465
California,Fresno,2012,5,Habitat,Affiliate Raised Income,139066.82
California,Fresno,2013,9,Habitat,Affiliate Raised Income,133005.05
California,Fresno,2014,15,Habitat,Affiliate Raised Income,135375.88
California,Fresno,2015,2,Habitat,Affiliate Raised Income,172982.29
California,Fresno,2016,11,Habitat,Affiliate Raised Income,658637.35
California,Fresno,2017,2,Habitat,Affiliate Raised Income,19165.26
California,Fresno,2008,5,Habitat,In-Kind,92447.31
California,Fresno,2009,3,Habitat,In-Kind,25500
California,Fresno,2010,6,Habitat,In-Kind,48636.37
California,Fresno,2011,2,Habitat,In-Kind,25989
California,Fresno,2012,5,Habitat,In-Kind,37490.24
California,Fresno,2013,9,Habitat,In-Kind,334728.77
California,Fresno,2014,15,Habitat,In-Kind,253457.15
California,Fresno,2015,2,Habitat,In-Kind,13687.97
California,Fresno,2016,11,Habitat,In-Kind,59212.96
California,Fresno,2017,2,Habitat,In-Kind,53005
California,Fresno,2014,15,Habitat,Silent Mortgages from Habitat,27000
California,Fresno,2015,2,Habitat,Silent Mortgages from Habitat,4000
California,Inland Valley,2010,10,Federal Government,NSP,1716985
California,Inland Valley,2010,10,Habitat,Silent Mortgages from Habitat,212295
California,Inland Valley,2011,1,Federal Government,NSP,233564
California,Inland Valley,2012,4,Federal Government,NSP,829289
California,Inland Valley,2012,4,Habitat,Silent Silent Mortgages from Habitat,146200
California,Inland Valley,2013,4,Federal Government,NSP,947977
California,Inland Valley,2013,4,Habitat,Silent Silent Mortgages from Habitat,163373
California,Nevada County,2008,1,State Government,CalHome General,"66,613.00"
California,Nevada County,2008,1,Local Government,RDA + RDA Successors,"15,000.00"
California,Nevada County,2008,1,Habitat,Silent Mortgages from Habitat,"132,000.00"
California,Nevada County,2009,2,State Government,CalHome General,"63,700.00"
California,Nevada County,2009,2,Local Government,RDA + RDA Successors,"30,000.00"
California,Nevada County,2009,2,Habitat,Silent Mortgages from Habitat,"106,492.00"
California,Nevada County,2010,2,State Government,CalHome General,"9,687.39"
California,Nevada County,2010,2,Local Government,RDA + RDA Successors,"30,000.00"
California,Nevada County,2010,2,Habitat,Affiliate Raised Income,"68,000.00"
California,Nevada County,2010,2,Habitat,Silent Mortgages from Habitat,"59,570.00"
California,Nevada County,2012,3,State Government,CalHome General,"93,750.00"
California,Nevada County,2012,3,Local Government,RDA + RDA Successors,"46,875.00"
California,Nevada County,2012,3,Habitat,Affiliate Raised Income,"162,500.00"
California,Nevada County,2012,3,Habitat,Silent Mortgages from Habitat,"41,732.00"
California,Nevada County,2013,2,State Government,CalHome General,"76,250.00"
California,Nevada County,2013,2,Local Government,RDA + RDA Successors,"31,250.00"
California,Nevada County,2013,2,Habitat,Affiliate Raised Income,"120,000.00"
California,Nevada County,2013,2,Habitat,Silent Mortgages from Habitat,"27,350.00"
California,Nevada County,2014,2,State Government,CalHome General,"84,761.00"
California,Nevada County,2014,2,Local Government,RDA + RDA Successors,"15,625.00"
California,Nevada County,2014,2,Habitat,Affiliate Raised Income,"12,500.00"
California,Nevada County,2014,2,Habitat,Silent Mortgages from Habitat,"69,300.00"
California,Nevada County,2015,1,State Government,CalHome General,"40,000.00"
California,Nevada County,2015,1,Local Government,RDA + RDA Successors,"15,625.00"
California,Nevada County,2015,1,Habitat,Affiliate Raised Income,"10,000.00"
California,Nevada County,2015,1,Habitat,Silent Mortgages from Habitat,"21,812.00"
California,Nevada County,2016,3,State Government,CalHome General,"78,274.00"
California,Nevada County,2016,3,Local Government,RDA + RDA Successors,"46,875.00"
