State,County,Household Status,Minimum Income
California,Alameda,Single Adult,36680
California,Alameda,Single-Parent Family,82195
California,Alameda,Two-Parent Family (One Working),72092
California,Alameda,Two-Working Parent Family,92267
California,Butte,Single Adult,22289
California,Butte,Single-Parent Family,52419
California,Butte,Two-Parent Family (One Working),47337
California,Butte,Two-Working Parent Family,61683
California,Contra Costa,Single Adult,37245
California,Contra Costa,Single-Parent Family,80932
California,Contra Costa,Two-Parent Family (One Working),72633
California,Contra Costa,Two-Working Parent Family,91407
California,Fresno,Single Adult,22776
California,Fresno,Single-Parent Family,50835
California,Fresno,Two-Parent Family (One Working),46725
California,Fresno,Two-Working Parent Family,60214
California,Kings,Single Adult,22230
California,Kings,Single-Parent Family,49844
California,Kings,Two-Parent Family (One Working),45929
California,Kings,Two-Working Parent Family,59290
California,Los Angeles,Single Adult,29217
California,Los Angeles,Single-Parent Family,64036
California,Los Angeles,Two-Parent Family (One Working),58438
California,Los Angeles,Two-Working Parent Family,74679
California,Marin,Single Adult,43901
California,Marin,Single-Parent Family,103151
California,Marin,Two-Parent Family (One Working),86397
California,Marin,Two-Working Parent Family,110544
California,Nevada,Single Adult,25887
California,Nevada,Single-Parent Family,59247
California,Nevada,Two-Parent Family (One Working),54277
California,Nevada,Two-Working Parent Family,69153
California,Orange,Single Adult,33061
California,Orange,Single-Parent Family,70304
California,Orange,Two-Parent Family (One Working),63176
California,Orange,Two-Working Parent Family,80765
California,Riverside,Single Adult,26255
California,Riverside,Single-Parent Family,57167
California,Riverside,Two-Parent Family (One Working),52333
California,Riverside,Two-Working Parent Family,67513
California,Sacramento,Single Adult,24654
California,Sacramento,Single-Parent Family,56624
California,Sacramento,Two-Parent Family (One Working),51173
California,Sacramento,Two-Working Parent Family,66641
California,San Bernardino,Single Adult,25784
California,San Bernardino,Single-Parent Family,56788
California,San Bernardino,Two-Parent Family (One Working),51729
California,San Bernardino,Two-Working Parent Family,66919
California,San Diego,Single Adult,31893
California,San Diego,Single-Parent Family,66968
California,San Diego,Two-Parent Family (One Working),60738
California,San Diego,Two-Working Parent Family,77223
California,San Francisco,Single Adult,44481
California,San Francisco,Single-Parent Family,103423
California,San Francisco,Two-Parent Family (One Working),87594
California,San Francisco,Two-Working Parent Family,110984
California,San Luis Obispo,Single Adult,26582
California,San Luis Obispo,Single-Parent Family,59820
California,San Luis Obispo,Two-Parent Family (One Working),54633
California,San Luis Obispo,Two-Working Parent Family,69665
California,San Mateo,Single Adult,43745
California,San Mateo,Single-Parent Family,100440
California,San Mateo,Two-Parent Family (One Working),85020
California,San Mateo,Two-Working Parent Family,108109
California,Santa Barbara,Single Adult,29611
California,Santa Barbara,Single-Parent Family,63181
California,Santa Barbara,Two-Parent Family (One Working),57420
California,Santa Barbara,Two-Working Parent Family,72838
California,Santa Clara,Single Adult,37516
California,Santa Clara,Single-Parent Family,83715
California,Santa Clara,Two-Parent Family (One Working),72914
California,Santa Clara,Two-Working Parent Family,93451
California,Solano,Single Adult,27299
California,Solano,Single-Parent Family,61865
California,Solano,Two-Parent Family (One Working),56494
California,Solano,Two-Working Parent Family,72482
California,Sonoma,Single Adult,29251
California,Sonoma,Single-Parent Family,65799
California,Sonoma,Two-Parent Family (One Working),59030
California,Sonoma,Two-Working Parent Family,75913
California,Stanislaus,Single Adult,23249
California,Stanislaus,Single-Parent Family,53273
California,Stanislaus,Two-Parent Family (One Working),48726
California,Stanislaus,Two-Working Parent Family,62987
California,Tulare,Single Adult,23417
California,Tulare,Single-Parent Family,51698
California,Tulare,Two-Parent Family (One Working),47802
California,Tulare,Two-Working Parent Family,61357
California,Ventura,Single Adult,30822
California,Ventura,Single-Parent Family,68889
California,Ventura,Two-Parent Family (One Working),62587
California,Ventura,Two-Working Parent Family,79209
California,Yolo,Single Adult,26538
California,Yolo,Single-Parent Family,59648
California,Yolo,Two-Parent Family (One Working),53072
California,Yolo,Two-Working Parent Family,69568
California,,Single Adult,29824
California,,Single-Parent Family,65865
California,,Two-Parent Family (One Working),59338
California,,Two-Working Parent Family,75952
