State,County,Year,Price
California,San Francisco,2008,"$770,350.00 "
California,San Francisco,2009,"$695,391.67 "
California,San Francisco,2010,"$702,325.00 "
California,San Francisco,2011,"$671,000.00 "
California,San Francisco,2012,"$695,341.67 "
California,San Francisco,2013,"$809,533.33 "
California,San Francisco,2014,"$934,641.67 "
California,San Francisco,2015,"$1,073,633.33 "
California,San Francisco,2016,"$1,129,941.67 "
California,San Francisco,2017,"$1,216,581.82 "
California,San Mateo,2008,"$736,708.33 "
California,San Mateo,2009,"$663,291.67 "
California,San Mateo,2010,"$654,166.67 "
California,San Mateo,2011,"$622,475.00 "
California,San Mateo,2012,"$639,883.33 "
California,San Mateo,2013,"$755,866.67 "
California,San Mateo,2014,"$850,233.33 "
California,San Mateo,2015,"$975,216.67 "
California,San Mateo,2016,"$1,066,525.00 "
California,San Mateo,2017,"$1,170,509.09 "
California,Santa Clara,2008,"$674,175.00 "
California,Santa Clara,2009,"$599,550.00 "
California,Santa Clara,2010,"$598,025.00 "
California,Santa Clara,2011,"$574,925.00 "
California,Santa Clara,2012,"$603,225.00 "
California,Santa Clara,2013,"$713,800.00 "
California,Santa Clara,2014,"$791,450.00 "
California,Santa Clara,2015,"$898,125.00 "
California,Santa Clara,2016,"$969,266.67 "
California,Santa Clara,2017,"$1,063,618.18 "
California,Marin,2008,"$815,450.00 "
California,Marin,2009,"$731,291.67 "
California,Marin,2010,"$719,250.00 "
California,Marin,2011,"$678,375.00 "
California,Marin,2012,"$684,758.33 "
California,Marin,2013,"$776,825.00 "
California,Marin,2014,"$845,125.00 "
California,Marin,2015,"$914,916.67 "
California,Marin,2016,"$977,208.33 "
California,Marin,2017,"$1,059,500.00 "
California,Alameda,2008,"$523,516.67 "
California,Alameda,2009,"$456,050.00 "
California,Alameda,2010,"$444,866.67 "
California,Alameda,2011,"$412,583.33 "
California,Alameda,2012,"$423,075.00 "
California,Alameda,2013,"$522,175.00 "
California,Alameda,2014,"$593,783.33 "
California,Alameda,2015,"$672,391.67 "
California,Alameda,2016,"$728,158.33 "
California,Alameda,2017,"$784,800.00 "
California,Orange,2008,"$573,650.00 "
California,Orange,2009,"$511,683.33 "
California,Orange,2010,"$495,683.33 "
California,Orange,2011,"$467,491.67 "
California,Orange,2012,"$463,566.67 "
California,Orange,2013,"$544,950.00 "
California,Orange,2014,"$595,158.33 "
California,Orange,2015,"$625,858.33 "
California,Orange,2016,"$657,858.33 "
California,Orange,2017,"$684,300.00 "
California,Sonoma,2008,"$448,266.67 "
California,Sonoma,2009,"$402,925.00 "
California,Sonoma,2010,"$378,075.00 "
California,Sonoma,2011,"$341,683.33 "
California,Sonoma,2012,"$341,550.00 "
California,Sonoma,2013,"$403,433.33 "
California,Sonoma,2014,"$453,733.33 "
California,Sonoma,2015,"$506,850.00 "
California,Sonoma,2016,"$555,108.33 "
California,Sonoma,2017,"$595,072.73 "
California,Contra Costa,2008,"$459,650.00 "
California,Contra Costa,2009,"$381,275.00 "
California,Contra Costa,2010,"$351,566.67 "
California,Contra Costa,2011,"$319,758.33 "
California,Contra Costa,2012,"$319,400.00 "
California,Contra Costa,2013,"$392,950.00 "
California,Contra Costa,2014,"$452,541.67 "
California,Contra Costa,2015,"$497,300.00 "
California,Contra Costa,2016,"$538,408.33 "
California,Contra Costa,2017,"$575,990.91 "
California,San Luis Obispo,2008,"$508,100.00 "
California,San Luis Obispo,2009,"$447,183.33 "
California,San Luis Obispo,2010,"$414,083.33 "
California,San Luis Obispo,2011,"$381,841.67 "
California,San Luis Obispo,2012,"$383,741.67 "
California,San Luis Obispo,2013,"$432,808.33 "
California,San Luis Obispo,2014,"$476,666.67 "
California,San Luis Obispo,2015,"$510,966.67 "
California,San Luis Obispo,2016,"$541,983.33 "
California,San Luis Obispo,2017,"$574,254.55 "
California,Los Angeles,2008,"$456,500.00 "
California,Los Angeles,2009,"$390,450.00 "
California,Los Angeles,2010,"$391,691.67 "
California,Los Angeles,2011,"$368,241.67 "
California,Los Angeles,2012,"$364,633.33 "
California,Los Angeles,2013,"$421,333.33 "
California,Los Angeles,2014,"$465,916.67 "
California,Los Angeles,2015,"$496,275.00 "
California,Los Angeles,2016,"$532,191.67 "
California,Los Angeles,2017,"$569,145.45 "
California,Santa Barbara,2008,"$533,508.33 "
California,Santa Barbara,2009,"$472,775.00 "
California,Santa Barbara,2010,"$439,975.00 "
California,Santa Barbara,2011,"$404,258.33 "
California,Santa Barbara,2012,"$387,358.33 "
California,Santa Barbara,2013,"$443,416.67 "
California,Santa Barbara,2014,"$498,775.00 "
California,Santa Barbara,2015,"$526,650.00 "
California,Santa Barbara,2016,"$552,225.00 "
California,Santa Barbara,2017,"$566,372.73 "
California,Ventura,2008,"$481,008.33 "
California,Ventura,2009,"$432,333.33 "
