Affiliate ID,Affiliate Name,County,State
1,Greater San Francisco,San Francisco,CA
1,Greater San Francisco,San Mateo,CA
1,Greater San Francisco,Marin,CA
2,East Bay Silicon Valley,Alameda,CA
2,East Bay Silicon Valley,Santa Clara,CA
2,East Bay Silicon Valley,Contra Costa,CA
3,Greater Los Angeles,Los Angeles,CA
4,Inland Valley,Riverside,CA
5,Butte County,Butte,CA
6,Nevada County,Nevada,CA
7,Ventura County,Ventura,CA
8,San Diego,San Diego,CA
9,Stanislaus County,Stanislaus,CA
10,Tulare Kings,Tulare,CA
10,Tulare Kings,Kings,CA
11,Orange County,Orange,CA
12,Solano Napa,Solano,CA
12,Solano Napa,Napa,CA
13,Greater Sacramento,Sacramento,CA
13,Greater Sacramento,Yolo,CA
14,Coachella Valley,Riverside,CA
15,Southern Santa Barbara,Santa Barbara,CA
16,San Luis Obispo County,San Luis Obispo,CA
17,Riverside,Riverside,CA
18,San Gabriel Valley,Los Angeles,CA
19,Fresno County,Fresno,CA
20,Sonoma County,Sonoma,CA
